Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Sydney-Darwin,Sydney,Darwin,Qantas,Jan-20,31,31,0,18,26,13,5,2020,1,-33.9399,151.1753,-12.4147,130.8767,83.87096774193549
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,Jan-20,155,154,1,120,123,34,31,2020,1,-33.9399,151.1753,-28.1644,153.5051,79.87012987012987
Sydney-Melbourne,Sydney,Melbourne,Qantas,Jan-20,914,847,67,628,576,219,271,2020,1,-33.9399,151.1753,-37.669,144.841,68.00472255017709
Sydney-Perth,Sydney,Perth,Qantas,Jan-20,194,193,1,106,135,87,58,2020,1,-33.9399,151.1753,-31.9403,115.9676,69.94818652849742
Adelaide-Canberra,Adelaide,Canberra,QantasLink,Jan-20,4,4,0,4,4,0,0,2020,1,-34.945,138.5306,-35.3069,149.195,100.0
Brisbane-Cairns,Brisbane,Cairns,QantasLink,Jan-20,134,133,1,117,120,16,13,2020,1,-27.3842,153.1175,-16.8858,145.7553,90.22556390977444
Brisbane-Canberra,Brisbane,Canberra,QantasLink,Jan-20,153,145,8,114,116,31,29,2020,1,-27.3842,153.1175,-35.3069,149.195,80.0
Brisbane-Sydney,Brisbane,Sydney,QantasLink,Jan-20,5,5,0,3,2,2,3,2020,1,-27.3842,153.1175,-33.9399,151.1753,40.0
Cairns-Brisbane,Cairns,Brisbane,QantasLink,Jan-20,134,132,2,112,109,20,23,2020,1,-16.8858,145.7553,-27.3842,153.1175,82.57575757575758
Canberra-Adelaide,Canberra,Adelaide,QantasLink,Jan-20,4,4,0,2,3,2,1,2020,1,-35.3069,149.195,-34.945,138.5306,75.0
Canberra-Brisbane,Canberra,Brisbane,QantasLink,Jan-20,154,144,10,117,117,27,27,2020,1,-35.3069,149.195,-27.3842,153.1175,81.25
Canberra-Melbourne,Canberra,Melbourne,QantasLink,Jan-20,34,32,2,19,18,13,14,2020,1,-35.3069,149.195,-37.669,144.841,56.25
Canberra-Sydney,Canberra,Sydney,QantasLink,Jan-20,321,292,29,208,197,84,95,2020,1,-35.3069,149.195,-33.9399,151.1753,67.46575342465754
Gold Coast-Sydney,Gold Coast,Sydney,QantasLink,Jan-20,39,39,0,26,26,13,13,2020,1,-28.1644,153.5051,-33.9399,151.1753,66.66666666666666
Melbourne-Canberra,Melbourne,Canberra,QantasLink,Jan-20,33,29,4,21,21,8,8,2020,1,-37.669,144.841,-35.3069,149.195,72.41379310344827
Sydney-Brisbane,Sydney,Brisbane,QantasLink,Jan-20,4,4,0,3,3,1,1,2020,1,-33.9399,151.1753,-27.3842,153.1175,75.0
Sydney-Canberra,Sydney,Canberra,QantasLink,Jan-20,323,295,28,204,199,91,96,2020,1,-33.9399,151.1753,-35.3069,149.195,67.45762711864407
Sydney-Gold Coast,Sydney,Gold Coast,QantasLink,Jan-20,40,40,0,32,31,8,9,2020,1,-33.9399,151.1753,-28.1644,153.5051,77.5
Adelaide-Brisbane,Adelaide,Brisbane,Tigerair Australia,Jan-20,29,27,2,22,21,5,6,2020,1,-34.945,138.5306,-27.3842,153.1175,77.77777777777779
Adelaide-Melbourne,Adelaide,Melbourne,Tigerair Australia,Jan-20,73,69,4,49,46,20,23,2020,1,-34.945,138.5306,-37.669,144.841,66.66666666666666
Adelaide-Sydney,Adelaide,Sydney,Tigerair Australia,Jan-20,30,29,1,17,12,12,17,2020,1,-34.945,138.5306,-33.9399,151.1753,41.37931034482759
Brisbane-Adelaide,Brisbane,Adelaide,Tigerair Australia,Jan-20,29,27,2,22,24,5,3,2020,1,-27.3842,153.1175,-34.945,138.5306,88.88888888888889
Brisbane-Cairns,Brisbane,Cairns,Tigerair Australia,Jan-20,31,30,1,23,23,7,7,2020,1,-27.3842,153.1175,-16.8858,145.7553,76.66666666666667
Brisbane-Canberra,Brisbane,Canberra,Tigerair Australia,Jan-20,31,30,1,25,25,5,5,2020,1,-27.3842,153.1175,-35.3069,149.195,83.33333333333334
Brisbane-Darwin,Brisbane,Darwin,Tigerair Australia,Jan-20,19,19,0,14,16,5,3,2020,1,-27.3842,153.1175,-12.4147,130.8767,84.21052631578947
