Departing_Port,Arriving_Port,Airline,Sectors_Flown,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude
Melbourne,Sydney,Regional Express,534,-37.669,144.841,-33.9399,151.1753
Melbourne,Sydney,Rex Airlines,5188,-37.669,144.841,-33.9399,151.1753
Melbourne,Sydney,Tigerair Australia,440,-37.669,144.841,-33.9399,151.1753
Melbourne,Sydney,Virgin Australia,26398,-37.669,144.841,-33.9399,151.1753
Perth,Adelaide,Jetstar,1102,-31.9403,115.9676,-34.945,138.5306
Perth,Adelaide,Qantas,3960,-31.9403,115.9676,-34.945,138.5306
Perth,Adelaide,QantasLink,32,-31.9403,115.9676,-34.945,138.5306
Perth,Adelaide,Rex Airlines,14,-31.9403,115.9676,-34.945,138.5306
Perth,Adelaide,Virgin Australia,1353,-31.9403,115.9676,-34.945,138.5306
Perth,Adelaide,Virgin Australia Regional Airlines,1180,-31.9403,115.9676,-34.945,138.5306
Perth,Brisbane,Jetstar,708,-31.9403,115.9676,-27.3842,153.1175
Perth,Brisbane,Qantas,5834,-31.9403,115.9676,-27.3842,153.1175
Perth,Brisbane,Virgin Australia,4190,-31.9403,115.9676,-27.3842,153.1175
Perth,Darwin,Qantas,783,-31.9403,115.9676,-12.4147,130.8767
Perth,Darwin,QantasLink,798,-31.9403,115.9676,-12.4147,130.8767
Perth,Darwin,Virgin Australia,388,-31.9403,115.9676,-12.4147,130.8767
Perth,Darwin,Virgin Australia Regional Airlines,631,-31.9403,115.9676,-12.4147,130.8767
Perth,Melbourne,Jetstar,2277,-31.9403,115.9676,-37.669,144.841
Perth,Melbourne,Qantas,7129,-31.9403,115.9676,-37.669,144.841
Perth,Melbourne,Rex Airlines,22,-31.9403,115.9676,-37.669,144.841
Perth,Melbourne,Tigerair Australia,101,-31.9403,115.9676,-37.669,144.841
Perth,Melbourne,Virgin Australia,6480,-31.9403,115.9676,-37.669,144.841
Perth,Sydney,Jetstar,1569,-31.9403,115.9676,-33.9399,151.1753
Perth,Sydney,Qantas,7331,-31.9403,115.9676,-33.9399,151.1753
Perth,Sydney,Tigerair Australia,51,-31.9403,115.9676,-33.9399,151.1753
Perth,Sydney,Virgin Australia,4853,-31.9403,115.9676,-33.9399,151.1753
Sydney,Adelaide,Jetstar,4469,-33.9399,151.1753,-34.945,138.5306
Sydney,Adelaide,Qantas,8995,-33.9399,151.1753,-34.945,138.5306
Sydney,Adelaide,Rex Airlines,334,-33.9399,151.1753,-34.945,138.5306
Sydney,Adelaide,Tigerair Australia,47,-33.9399,151.1753,-34.945,138.5306
Sydney,Adelaide,Virgin Australia,6033,-33.9399,151.1753,-34.945,138.5306
